date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared
2023-02-01,Yellow Taxi,103632,2440127,10762,7886,6679,23.7,8.4,20.2,7.2,14.7,0.81,
2023-01-01,FHV - High Volume,596095,,77641,74553,50996,21.2,6.4,20.7,6.3,18.0,,9998.0
2023-01-01,Green Taxi,2199,43733,960,911,488,16.6,3.5,16.1,3.5,13.8,0.65,
2023-01-01,Yellow Taxi,98569,2335375,10594,7737,6354,25.5,8.2,21.6,7.1,14.4,0.8,
2022-12-01,FHV - High Volume,634379,,78091,74877,52087,21.6,6.6,21.1,6.4,19.0,,10672.0
2022-12-01,Green Taxi,2336,45204,966,942,496,16.3,3.6,16.1,3.5,15.9,0.66,
2022-12-01,Yellow Taxi,109287,2358881,10751,7791,6529,26.0,8.7,22.0,7.5,16.9,0.78,
2022-11-01,FHV - High Volume,602819,,77228,74237,51703,20.9,6.5,20.5,6.3,19.0,,9397.0
2022-11-01,Green Taxi,2076,35983,958,910,458,15.1,3.5,14.5,3.4,16.2,0.69,
2022-11-01,Yellow Taxi,108146,2088889,10804,7685,6100,23.8,9.1,19.9,7.7,16.5,0.8,
2022-10-01,FHV - High Volume,622770,,76651,73747,51532,21.7,6.6,21.2,6.5,20.0,,3573.0
2022-10-01,Green Taxi,2236,39956,966,929,485,16.2,3.5,15.8,3.5,16.5,0.69,
2022-10-01,Yellow Taxi,118197,2301955,10737,7585,6442,26.3,9.2,21.9,7.8,16.7,0.79,
2022-09-01,FHV - High Volume,593114,,75194,72616,49980,20.6,6.6,20.3,6.5,20.0,,443.0
2022-09-01,Green Taxi,2300,43805,964,928,491,15.9,3.6,15.4,3.5,17.2,0.69,
2022-09-01,Yellow Taxi,105917,2109566,10249,7380,6005,24.4,8.9,20.4,7.6,17.2,0.79,
2022-08-01,FHV - High Volume,554361,,72640,70497,46996,20.7,6.5,20.4,6.4,19.0,,466.0
2022-08-01,Green Taxi,2126,38913,961,924,475,16.0,3.5,15.5,3.4,15.8,0.67,
2022-08-01,Yellow Taxi,101327,1918362,9678,7169,5823,25.2,8.8,21.6,7.6,15.4,0.77,
2022-07-01,FHV - High Volume,563353,,73321,71043,46799,20.4,6.5,20.1,6.4,19.0,,853.0
2022-07-01,Green Taxi,2070,37363,977,940,467,15.4,3.4,15.0,3.4,15.7,0.67,
2022-07-01,Yellow Taxi,102052,1921785,9843,7156,5702,24.7,8.9,20.8,7.7,15.1,0.77,
2022-06-01,FHV - High Volume,592656,,74020,71552,49341,20.7,6.6,20.3,6.5,20.0,,133.0
2022-06-01,Green Taxi,2456,44690,1040,1004,527,15.7,3.6,15.3,3.6,16.8,0.68,
2022-06-01,Yellow Taxi,118213,2295511,10101,7246,6136,25.4,9.4,21.5,8.0,16.3,0.79,
2022-05-01,FHV - High Volume,585714,,73287,71059,47877,20.9,6.6,20.6,6.5,20.0,,
2022-05-01,Green Taxi,2482,44927,1065,1027,531,16.1,3.6,15.6,3.5,16.7,0.68,
2022-05-01,Yellow Taxi,115896,2244884,9977,7150,5961,25.8,9.3,21.6,8.0,16.4,0.79,
2022-04-01,FHV - High Volume,591746,,72244,70281,48410,20.7,6.5,20.4,6.4,19.0,,
2022-04-01,Green Taxi,2537,43601,1057,1027,546,16.0,3.5,15.7,3.5,15.9,0.67,
2022-04-01,Yellow Taxi,119627,2219111,9560,7053,5975,25.4,9.4,21.9,8.0,15.4,0.79,
2022-03-01,FHV - High Volume,595270,,71667,69702,48364,21.5,6.7,21.2,6.6,18.0,,
2022-03-01,Green Taxi,2532,42458,1133,1104,553,15.5,3.5,15.4,3.4,15.4,0.66,
2022-03-01,Yellow Taxi,116628,2097319,9535,6984,5907,26.2,9.4,22.3,8.1,14.8,0.79,
2022-02-01,FHV - High Volume,572114,,68998,67536,46279,19.2,6.6,19.0,6.5,18.0,,
2022-02-01,Green Taxi,2478,40483,1121,1085,565,14.6,3.4,14.3,3.3,15.1,0.65,
2022-02-01,Yellow Taxi,106036,1805858,8989,6734,5591,23.2,9.1,20.1,7.9,14.0,0.8,
2022-01-01,FHV - High Volume,475854,,68531,66855,41326,19.2,6.3,18.9,6.2,17.0,,
2022-01-01,Green Taxi,2016,32513,1162,1136,523,14.3,3.1,14.2,3.0,14.3,0.64,
2022-01-01,Yellow Taxi,79212,1330576,8803,6653,4989,23.3,8.2,20.0,7.2,12.7,0.78,
2021-12-01,FHV - High Volume,517884,,70302,68257,44289,20.1,6.4,19.8,6.3,18.0,,
2021-12-01,Green Taxi,3223,70839,1299,1232,705,17.8,3.6,17.1,3.6,19.5,0.69,
2021-12-01,Yellow Taxi,103586,1903868,9552,6908,5657,25.4,9.0,21.5,7.7,15.2,0.76,
2021-11-01,FHV - High Volume,534718,,69410,67433,44979,20.0,6.5,19.7,6.4,19.0,,
2021-11-01,Green Taxi,3607,82075,1311,1269,741,17.5,3.9,17.2,3.8,20.6,0.72,
2021-11-01,Yellow Taxi,115660,2103000,9516,6810,5763,25.4,9.5,21.3,8.2,15.3,0.78,
2021-10-01,FHV - High Volume,533649,,68927,66935,44408,20.6,6.6,20.3,6.5,19.0,,277.0
2021-10-01,Green Taxi,3574,82092,1311,1251,736,18.3,3.9,17.6,3.8,21.0,0.73,
2021-10-01,Yellow Taxi,111643,1993304,9154,6600,5555,26.1,9.5,21.7,8.2,15.1,0.79,
2021-09-01,FHV - High Volume,496112,,65996,64572,40404,18.8,6.6,18.6,6.5,19.0,,834.0
2021-09-01,Green Taxi,3190,77260,1216,1173,640,16.4,4.0,15.9,3.9,21.5,0.73,
2021-09-01,Yellow Taxi,98723,1826376,8502,6218,5069,24.5,9.0,19.9,8.1,15.2,0.78,
2021-08-01,FHV - High Volume,467654,,59816,58754,35257,18.6,6.7,18.5,6.7,18.0,,723.0
2021-08-01,Green Taxi,2693,63669,944,926,509,17.1,4.1,16.9,4.1,20.0,0.75,
2021-08-01,Yellow Taxi,89924,1612966,7471,5888,4700,24.7,8.8,21.1,8.2,13.9,0.76,
2021-07-01,FHV - High Volume,484745,,59733,58607,36036,19.1,6.8,18.9,6.7,18.0,,635.0
2021-07-01,Green Taxi,2698,63047,983,950,508,16.6,4.1,16.2,4.1,20.1,0.74,
2021-07-01,Yellow Taxi,91012,1605064,7350,5782,4631,24.8,8.9,21.1,8.3,13.9,0.76,
2021-06-01,FHV - High Volume,498685,,58802,57863,36925,19.1,6.9,19.0,6.9,19.0,,124.0
2021-06-01,Green Taxi,2891,65832,1001,975,531,16.3,4.2,16.1,4.2,20.5,0.74,
2021-06-01,Yellow Taxi,94462,1623722,7089,5646,4577,24.3,9.1,20.9,8.5,14.1,0.77,
2021-05-01,FHV - High Volume,474809,,56874,56112,34404,19.0,6.9,18.9,6.9,18.0,,149.0
2021-05-01,Green Taxi,2843,65571,980,952,517,16.8,4.3,16.5,4.2,20.0,0.77,
2021-05-01,Yellow Taxi,80862,1355888,6587,5238,4113,24.3,8.8,20.6,8.2,13.4,0.77,
2021-04-01,FHV - High Volume,470377,,54487,53748,33360,18.6,7.0,18.5,6.9,17.0,,235.0
2021-04-01,Green Taxi,2897,67893,954,928,515,16.7,4.4,16.4,4.3,20.1,0.78,
2021-04-01,Yellow Taxi,71986,1182845,6102,4924,3889,23.7,8.6,20.2,8.1,13.0,0.77,
2021-03-01,FHV - High Volume,458946,,52123,51761,31639,18.9,7.1,19.0,7.0,17.0,,167.0
2021-03-01,Green Taxi,2703,62416,952,932,483,16.1,4.4,15.9,4.4,18.9,0.79,
2021-03-01,Yellow Taxi,61643,979152,5765,4719,3652,24.0,8.3,20.6,7.9,12.3,0.76,
2021-02-01,FHV - High Volume,414782,,47208,47272,28639,17.0,7.1,17.1,7.1,16.0,,48.0
2021-02-01,Green Taxi,2305,52276,904,881,446,14.2,4.1,13.9,4.1,18.8,0.79,
2021-02-01,Yellow Taxi,48499,755111,5276,4496,3182,19.8,7.9,17.6,7.6,12.4,0.76,
2021-01-01,FHV - High Volume,383951,,47623,47594,28584,18.6,6.9,18.7,6.8,15.0,,38.0
2021-01-01,Green Taxi,2467,56409,991,982,491,15.5,4.1,15.5,4.0,17.4,0.79,
2021-01-01,Yellow Taxi,44052,688808,5396,4625,3256,21.8,7.5,19.4,7.3,11.6,0.75,
2020-12-01,FHV - High Volume,375389,,51535,51548,32500,19.5,6.5,19.7,6.5,16.0,,32.0
2020-12-01,Green Taxi,2681,60329,1095,1087,560,16.0,3.9,16.0,3.9,18.1,0.76,
2020-12-01,Yellow Taxi,47143,744814,6092,5142,3757,22.7,7.4,19.8,7.1,12.4,0.74,
2020-11-01,FHV - High Volume,386560,,53018,52960,34090,19.3,6.4,19.5,6.4,16.0,,36.0
2020-11-01,Green Taxi,2953,66502,1137,1106,610,16.6,4.0,16.4,3.9,18.2,0.77,
2020-11-01,Yellow Taxi,50286,786221,6315,5209,3868,22.3,7.5,19.2,7.2,12.4,0.75,
2020-10-01,FHV - High Volume,427396,,52379,52290,33969,20.1,6.8,20.3,6.7,17.0,,47.0
2020-10-01,Green Taxi,3067,68558,1137,1117,605,16.8,4.1,16.7,4.1,18.4,0.76,
2020-10-01,Yellow Taxi,54218,880037,6144,5092,3728,22.7,8.0,19.7,7.6,12.6,0.75,
2020-09-01,FHV - High Volume,403096,,50594,50391,31535,18.8,6.8,18.9,6.8,17.0,,32.0
2020-09-01,Green Taxi,2932,66854,1123,1100,575,15.7,4.1,15.5,4.1,18.6,0.75,
2020-09-01,Yellow Taxi,44686,708390,5707,4914,3258,19.9,7.6,17.8,7.3,12.6,0.73,
2020-08-01,FHV - High Volume,357610,,48984,48680,28731,18.3,6.7,18.4,6.6,17.0,,10.0
2020-08-01,Green Taxi,2614,62689,1143,1128,545,15.0,4.0,15.0,3.9,18.7,0.73,
2020-08-01,Yellow Taxi,32492,548766,5373,4759,2790,18.2,6.9,16.7,6.6,12.6,0.7,
2020-07-01,FHV - High Volume,320999,,38310,38380,21221,17.1,7.2,17.3,7.2,16.0,,3.0
2020-07-01,Green Taxi,2330,54821,936,924,430,14.4,4.3,14.4,4.2,18.1,0.72,
2020-07-01,Yellow Taxi,25819,439016,3991,3806,1952,15.9,7.1,15.7,6.8,12.5,0.69,
2020-06-01,FHV - High Volume,251696,,29832,30131,17665,17.6,7.1,17.9,7.0,16.0,,
2020-06-01,Green Taxi,2103,46850,856,850,408,14.4,4.1,14.5,4.0,17.5,0.71,
2020-06-01,Yellow Taxi,18326,314473,2970,2966,1554,15.7,6.7,16.2,6.5,12.4,0.67,
2020-05-01,FHV - High Volume,196447,,27675,27881,16073,17.9,6.4,18.1,6.4,15.0,,
2020-05-01,Green Taxi,1850,38441,830,819,405,15.3,3.7,15.3,3.7,16.5,0.72,
2020-05-01,Yellow Taxi,11237,206544,2606,2613,1298,15.4,5.7,15.9,5.6,11.9,0.66,
2020-04-01,FHV - High Volume,143762,,22390,22527,11544,15.4,6.1,15.6,6.1,13.0,,
2020-04-01,Green Taxi,1187,22524,669,669,278,12.5,3.4,12.6,3.4,14.5,0.65,
2020-04-01,Yellow Taxi,7931,119152,2212,2196,983,13.4,5.3,13.8,5.1,9.9,0.63,
2020-03-01,FHV - High Volume,432027,,76604,75506,35735,14.7,6.1,14.6,6.0,16.0,,41051.0
2020-03-01,Green Taxi,7208,114041,2692,2560,1248,15.1,4.4,14.7,4.3,15.2,0.62,
2020-03-01,Yellow Taxi,97004,1620621,19065,11318,6162,16.9,8.8,13.2,6.7,13.0,0.74,
2020-02-01,FHV - High Volume,749129,,79282,78090,55139,20.5,6.6,20.5,6.5,17.0,,97117.0
2020-02-01,Green Taxi,13743,240816,2844,2675,2006,21.8,5.0,20.9,4.9,15.4,0.44,
2020-02-01,Yellow Taxi,217216,3556087,20123,11418,10349,26.3,10.8,20.9,7.7,13.5,0.74,
2020-01-01,FHV - High Volume,663524,,80726,79289,53607,21.0,6.2,20.9,6.1,17.0,,90559.0
2020-01-01,Green Taxi,13446,236992,2876,2703,1997,22.9,5.0,22.0,4.9,15.3,0.44,
2020-01-01,Yellow Taxi,206604,3403736,20131,11435,10080,27.3,10.5,21.7,7.5,13.1,0.73,
2019-12-01,FHV - High Volume,717517,,82528,80925,55797,21.4,6.5,21.3,6.4,18.0,,93421.0
2019-12-01,Green Taxi,11598,162078,2904,2731,1834,20.8,4.4,20.0,4.4,13.6,0.53,
2019-12-01,Yellow Taxi,220786,3806944,20829,11478,10260,27.7,10.7,21.7,7.5,15.0,0.71,
2019-11-01,FHV - High Volume,721170,,83017,81286,57241,21.1,6.5,21.0,6.4,19.0,,103379.0
2019-11-01,Green Taxi,12068,170328,2969,2781,1904,20.5,4.5,19.7,4.4,13.8,0.55,
2019-11-01,Yellow Taxi,227654,3872769,20934,11431,10441,27.4,11.0,21.7,7.6,14.8,0.73,
2019-10-01,FHV - High Volume,682635,,83865,82051,57764,21.8,6.4,21.7,6.3,19.0,,107676.0
2019-10-01,Green Taxi,12470,178014,3004,2818,1990,21.9,4.5,21.0,4.4,14.0,0.56,
2019-10-01,Yellow Taxi,231171,4006128,20880,11380,10476,28.5,11.2,22.5,7.7,15.1,0.73,
2019-09-01,FHV - High Volume,668520,,84306,82206,56795,20.7,6.4,20.5,6.2,19.0,,107780.0
2019-09-01,Green Taxi,12985,190621,3033,2856,2048,21.5,4.6,20.6,4.5,14.3,0.55,
2019-09-01,Yellow Taxi,217747,3814692,20369,11302,10066,26.7,10.9,21.0,7.7,16.0,0.72,
2019-08-01,FHV - High Volume,648961,,83709,82693,55289,20.8,6.3,20.8,6.2,18.0,,104983.0
2019-08-01,Green Taxi,12866,188318,3033,2841,2011,22.0,4.6,20.9,4.6,13.9,0.54,
2019-08-01,Yellow Taxi,194798,3385162,19583,11237,9741,26.9,10.4,21.4,7.5,14.3,0.7,
2019-07-01,FHV - High Volume,654230,,85896,84609,57048,21.0,6.2,20.9,6.1,18.0,,104074.0
2019-07-01,Green Taxi,13969,205934,3179,2985,2125,22.1,4.7,21.1,4.6,14.2,0.55,
2019-07-01,Yellow Taxi,202443,3501565,20206,11366,9894,27.0,10.5,21.4,7.5,14.5,0.7,
2019-06-01,FHV - High Volume,700036,,87131,85712,58847,20.7,6.3,20.6,5.8,19.0,,101645.0
2019-06-01,Green Taxi,15690,235578,3292,3080,2216,21.6,5.0,20.7,4.8,15.0,0.55,
2019-06-01,Yellow Taxi,231335,4042788,20728,11533,10274,26.7,11.0,21.3,7.7,15.1,0.72,
2019-05-01,FHV - High Volume,720263,,87719,86391,59902,21.6,6.2,21.5,6.2,19.0,,124106.0
2019-05-01,Green Taxi,16248,243583,3393,3170,2351,23.0,4.8,22.0,4.7,15.1,0.56,
2019-05-01,Yellow Taxi,244017,4214808,21042,11689,10494,27.8,11.2,22.3,7.7,14.9,0.72,
2019-04-01,FHV - High Volume,724388,,87779,86463,59121,20.6,6.3,20.5,6.2,19.0,,141734.0
2019-04-01,Green Taxi,17080,249506,3508,3249,2423,22.4,4.9,21.2,4.8,14.3,0.56,
2019-04-01,Yellow Taxi,247742,4215927,21595,11786,10674,27.2,11.3,21.4,7.8,14.3,0.72,
2019-03-01,FHV - High Volume,769729,,87695,86540,59893,21.6,6.4,21.5,6.4,19.0,,157704.0
2019-03-01,Green Taxi,19318,305302,3586,3296,2524,23.7,5.4,22.3,5.2,15.8,0.6,
2019-03-01,Yellow Taxi,252634,4289036,21956,11912,10814,28.1,11.4,22.3,7.9,14.1,0.73,
2019-02-01,FHV - High Volume,719853,,86296,85403,58980,19.5,6.3,19.4,6.2,18.0,,171912.0
2019-02-01,Green Taxi,20481,325509,3626,3385,2651,21.9,5.4,20.9,5.3,15.7,0.62,
2019-02-01,Yellow Taxi,250654,4105322,21733,11895,10770,25.4,11.3,20.1,7.8,13.6,0.74,
2019-01-01,FHV - High Volume,683692,,86715,84698,56530,20.7,6.2,20.5,6.1,18.0,,157678.0
2019-01-01,Green Taxi,20327,309210,3705,3442,2642,23.8,5.4,22.6,5.3,15.0,0.62,
2019-01-01,Yellow Taxi,247315,3413625,22085,11867,10582,27.6,11.1,21.5,7.7,12.8,0.72,
2018-12-01,FHV - High Volume,701180,,86788,85146,56844,20.7,6.3,20.6,6.2,20.0,,164666.0
2018-12-01,Green Taxi,22083,341294,3777,3468,2720,24.3,5.6,22.9,5.4,15.7,0.59,
2018-12-01,Yellow Taxi,263609,3852809,23042,11938,10803,28.1,11.5,21.7,7.7,14.7,0.68,
2018-11-01,FHV - High Volume,691379,,85496,83271,56908,20.5,6.3,20.3,6.2,20.0,,160672.0
2018-11-01,Green Taxi,21858,344302,3767,3490,2742,23.6,5.5,22.3,5.4,16.4,0.61,
2018-11-01,Yellow Taxi,271501,4035397,23459,11948,11040,27.7,11.8,21.4,7.8,15.2,0.7,
2018-10-01,FHV - High Volume,680433,,84660,82247,56538,21.3,6.3,21.0,6.2,21.0,,176348.0
2018-10-01,Green Taxi,22889,360292,3827,3523,2796,24.6,5.7,23.2,5.6,16.3,0.6,
2018-10-01,Yellow Taxi,284121,4267309,23600,12009,11151,28.8,12.0,22.2,7.9,15.2,0.71,
2018-09-01,FHV - High Volume,658952,,82782,80536,53842,20.1,6.4,19.8,6.3,20.0,,148283.0
2018-09-01,Green Taxi,22193,345939,3806,3503,2721,23.3,5.6,21.9,5.5,15.8,0.57,
2018-09-01,Yellow Taxi,267983,3995849,23055,12007,10741,26.8,11.7,20.6,7.9,15.0,0.7,
2018-08-01,FHV - High Volume,642341,,80363,78545,51804,20.4,6.4,20.3,6.3,20.0,,168299.0
2018-08-01,Green Taxi,21468,326276,3788,3507,2646,23.4,5.6,22.1,5.5,15.0,0.6,
2018-08-01,Yellow Taxi,253182,3742832,22319,11961,10655,27.6,11.3,21.4,7.8,14.1,0.7,
2018-07-01,FHV - High Volume,630977,,79945,78100,51565,20.5,6.3,20.3,6.2,20.0,,163171.0
2018-07-01,Green Taxi,22048,331003,3909,3588,2754,23.8,5.5,22.4,5.4,14.8,0.56,
2018-07-01,Yellow Taxi,253186,3735128,23142,12092,10788,27.7,11.3,21.3,7.7,14.1,0.68,
2018-06-01,FHV - High Volume,626423,,78862,77460,51728,20.0,6.3,19.9,6.2,20.0,,143298.0
2018-06-01,Green Taxi,24610,374454,3976,3653,2858,23.5,5.8,22.1,5.6,15.5,0.56,
2018-06-01,Yellow Taxi,290362,4283693,23737,12222,11223,27.5,11.9,21.4,7.9,14.7,0.7,
2018-05-01,FHV - High Volume,620950,,77775,76382,51355,20.8,6.3,20.7,6.2,20.0,,148036.0
2018-05-01,Green Taxi,25693,386965,4057,3707,2949,24.7,5.8,23.1,5.7,15.5,0.56,
2018-05-01,Yellow Taxi,297508,4431220,24330,12317,11396,28.7,12.1,22.3,7.9,14.9,0.69,
2018-04-01,FHV - High Volume,616450,,75879,74273,49959,20.2,6.3,20.0,6.2,20.0,,160806.0
2018-04-01,Green Taxi,26642,384918,4081,3746,2976,23.8,5.9,22.4,5.8,14.5,0.56,
2018-04-01,Yellow Taxi,310169,4486177,24807,12372,11534,28.0,12.4,21.5,8.1,14.2,0.7,
2018-03-01,FHV - High Volume,624601,,74288,72691,49102,20.9,6.4,20.7,6.3,19.0,,157162.0
2018-03-01,Green Taxi,26967,374253,4145,3773,2961,24.3,5.9,22.7,5.8,13.9,0.55,
2018-03-01,Yellow Taxi,304169,4293867,24991,12389,11480,28.7,12.2,21.9,7.9,13.7,0.7,
2018-02-01,FHV - High Volume,603801,,72893,71731,48772,19.0,6.3,18.9,6.3,19.0,,140622.0
2018-02-01,Green Taxi,27461,360001,4260,3920,3058,21.8,5.9,20.6,5.7,12.9,0.55,
2018-02-01,Yellow Taxi,303280,4138935,24641,12490,11535,25.9,12.1,19.9,8.0,13.1,0.71,
2018-01-01,FHV - High Volume,555031,,72719,71484,46403,20.1,6.2,19.9,6.1,18.0,,126738.0
2018-01-01,Green Taxi,25564,331105,4377,4021,2983,23.0,5.7,21.6,5.5,12.8,0.53,
2018-01-01,Yellow Taxi,282565,3863024,24923,12599,11304,27.8,11.6,21.1,7.7,13.1,0.7,
2017-12-01,FHV - High Volume,553632,,71671,70194,46799,20.7,6.3,20.5,6.2,20.0,,118649.0
2017-12-01,Green Taxi,29223,383355,4497,4117,3200,24.1,5.9,22.6,5.8,13.0,0.51,
2017-12-01,Yellow Taxi,306706,4407843,26038,12685,11743,28.7,12.2,21.8,7.8,14.5,0.66,
2017-11-01,FHV - High Volume,517191,,69948,68521,46232,20.2,6.2,20.0,6.1,20.0,,107750.0
2017-11-01,Green Taxi,29136,386722,4601,4199,3320,23.7,5.8,22.2,5.7,13.2,0.53,
2017-11-01,Yellow Taxi,309471,4517934,26347,12692,11921,28.2,12.4,21.5,7.8,14.8,0.68,
2017-10-01,FHV - High Volume,492028,,69303,67653,45234,20.7,6.1,20.4,6.1,20.0,,92641.0
2017-10-01,Green Taxi,29858,401160,4723,4287,3390,24.5,5.9,22.8,5.7,13.4,0.53,
