date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,percent_of_trips_paid_with_credit_card,trips_per_day_shared,total_trips,passenger_count,avg_trip_distance,avg_trip_duration,total_amount,shared_match_flag,days_in_month,farebox_per_day_per_distance,total_co2_emission
2023-11-01,Yellow Taxi,110643,2777387.0,12257,8751,7622,26.1,8.4,22.0,7.1,0.82,23448.033333333333,3319290,4196620.0,2.77,16.99,83321610.0,703441.0,30,1003951.4922,3673.0671
2023-12-01,FHV - High Volume,661815,15370977.75,84911,82379,58687,22.1,6.5,21.9,6.4,,6264.0,20516265,,4.06,20.32,476500310.37,194184.0,31,3787384.7294,33305.8377
2023-12-01,FHV - Other,50829,,18121,17354,8251,13.97,3.9,13.77,3.8,,,1575699,,4.36,25.72,,,31,,2747.9754
2023-12-01,Green Taxi,2071,45896.0,860,825,469,17.6,3.5,17.2,3.5,0.69,271.64516129032256,64201,75184.0,2.76,15.04,1422776.0,8421.0,31,16599.7425,71.0028
2023-12-01,Yellow Taxi,108202,2710488.0,12340,8841,7551,26.5,8.2,22.2,7.0,0.81,25312.0,3354262,4392895.0,2.71,17.2,84025128.0,784672.0,31,998495.9497,3642.1527
2024-01-01,FHV - High Volume,634329,13540286.17,84472,83785,57144,21.1,6.4,21.4,6.3,,7341.0,19664199,,3.84,18.38,419748871.34,227571.0,31,3529837.9318,30172.3634
2024-01-01,FHV - Other,50118,,19268,18624,8651,13.67,3.7,13.57,3.67,,,1553658,,4.39,25.46,,,31,,2728.7431
2024-01-01,Green Taxi,1824,37028.0,829,797,424,16.5,3.5,16.1,3.4,0.7,245.41935483870967,56544,67064.0,2.59,13.6,1147868.0,7608.0,31,14314.9382,58.5042
2024-01-01,Yellow Taxi,94742,2219025.0,11838,8795,7222,25.5,7.7,21.7,6.7,0.82,18983.322580645163,2937002,3658806.0,2.62,14.71,68789775.0,588483.0,31,847511.0491,3075.9627
2024-02-01,FHV - High Volume,667560,14383177.6,84133,83713,59104,20.5,6.5,20.7,6.4,,8667.0,19359240,,3.95,19.03,417112150.33,251343.0,29,3645542.5774,30552.0927
2024-02-01,FHV - Other,51251,,18235,17578,8946,13.83,3.73,13.83,3.6,,,1486279,,4.42,26.05,,,29,,2626.5023
2024-02-01,Green Taxi,1847,37789.0,800,769,419,15.8,3.5,15.4,3.5,0.71,253.86206896551724,53563,63002.0,2.63,13.69,1095881.0,7362.0,29,14383.2071,56.2904
2024-02-01,Yellow Taxi,102708,2389780.0,11739,8805,7449,24.5,8.1,21.1,7.0,0.83,19681.41379310345,2978532,3592530.0,2.63,15.07,69303620.0,570761.0,29,908923.063,3132.5143
2024-03-01,FHV - High Volume,686479,15540979.02,84901,83966,60502,22.3,6.5,22.5,6.4,,9337.0,21280849,,3.94,19.6,481770349.64,289447.0,31,3947989.9392,33508.2138
2024-03-01,FHV - Other,53366,,18464,17679,9110,14.9,3.8,14.77,3.67,,,1654346,,4.56,26.92,,,31,,3018.5488
2024-03-01,Green Taxi,1853,38304.0,786,750,418,17.3,3.5,16.7,3.5,0.7,270.48387096774195,57443,70539.0,2.62,13.94,1187424.0,8385.0,31,14593.6285,60.3084
2024-03-01,Yellow Taxi,114353,2731140.0,12020,8920,7698,26.8,8.4,22.9,7.2,0.84,21207.290322580644,3544943,4099341.0,2.71,15.89,84665340.0,657426.0,31,1008503.9848,3840.0386
2024-04-01,FHV - High Volume,657765,14947331.63,84517,83683,59194,21.2,6.4,21.4,6.3,,9034.0,19732950,,4.04,19.74,448419948.77,271020.0,30,3703390.6352,31857.8272
2024-04-01,FHV - Other,52127,,17942,17208,8772,14.37,3.83,14.37,3.7,,,1563810,,4.73,25.76,,,30,,2959.4612
2024-04-01,Green Taxi,1879,39453.0,734,713,405,17.1,3.6,16.8,3.6,0.72,270.4,56370,68540.0,2.67,14.04,1183590.0,8112.0,30,14760.7013,60.2672
2024-04-01,Yellow Taxi,115813,2803037.0,12242,9050,7823,25.9,8.3,22.0,7.2,0.84,21570.433333333334,3474390,4007872.0,2.77,16.22,84091110.0,647113.0,30,1012565.4406,3847.1958
2024-05-01,FHV - High Volume,667886,15754562.77,84900,83944,60900,22.5,6.5,22.6,6.4,,9160.0,20704466,,4.15,20.9,488391446.01,283960.0,31,3792178.2498,34406.5904
2024-05-01,FHV - Other,50949,,17866,17119,8554,14.53,3.87,14.43,3.73,,,1579419,,4.99,29.92,,,31,,3152.2102
2024-05-01,Green Taxi,1946,42958.0,752,719,424,18.3,3.7,17.7,3.6,0.72,298.2903225806452,60326,75635.0,2.75,14.99,1331698.0,9247.0,31,15612.1461,66.3966
2024-05-01,Yellow Taxi,118819,2971875.0,12487,9121,8052,27.4,8.4,23.2,7.3,0.83,22099.967741935485,3683389,4247795.0,2.84,17.23,92128125.0,685099.0,31,1046352.8048,4184.658
2024-06-01,FHV - High Volume,670772,15741675.27,83794,82824,58798,21.3,6.5,21.4,6.4,,9431.0,20123160,,4.17,20.59,472250258.01,282930.0,30,3779401.2223,33526.1838
2024-06-01,FHV - Other,48954,,17500,16939,8156,13.5,3.87,13.5,3.7,,,1468620,,4.84,27.05,,,30,,2845.6943
2024-06-01,Green Taxi,1805,40375.0,750,713,399,16.8,3.6,16.2,3.6,0.72,261.0,54150,67931.0,2.81,14.75,1211250.0,7830.0,30,14381.4295,60.8091
2024-06-01,Yellow Taxi,116772,2877406.0,12538,9146,7945,26.1,8.4,21.9,7.2,0.84,22126.266666666666,3503160,4073196.0,2.82,16.78,86322180.0,663788.0,30,1021685.6971,3946.4245
2024-07-01,FHV - High Volume,618802,13965481.98,82125,81319,56458,21.5,6.2,21.6,6.1,,9126.0,19182862,,4.2,19.54,432929941.32,282906.0,31,3324663.5885,32231.5815
2024-07-01,FHV - Other,46737,,16062,15429,7385,13.73,3.97,13.7,3.8,,,1448847,,4.81,24.78,,,31,,2787.3293
2024-07-01,Green Taxi,1658,36958.0,747,712,394,17.2,3.5,16.6,3.4,0.72,254.38709677419354,51398,64636.0,2.85,14.06,1145698.0,7886.0,31,12967.0271,58.5968
2024-07-01,Yellow Taxi,97929,2423487.0,12353,9144,7779,26.4,7.7,22.4,6.7,0.82,19589.83870967742,3035799,3656276.0,2.9,16.37,75128097.0,607285.0,31,834525.1156,3526.422
2024-08-01,FHV - High Volume,617043,14170638.4,81306,80570,55030,21.2,6.3,21.3,6.3,,10185.0,19128333,,4.24,19.76,439289790.54,315735.0,31,3343549.6348,32427.8949
2024-08-01,FHV - Other,47825,,19842,19783,8831,12.97,3.53,13.0,3.47,,,1482575,,4.88,26.57,,,31,,2895.5106
2024-08-01,Green Taxi,1654,38632.0,728,694,394,17.6,3.5,17.0,3.4,0.72,265.258064516129,51274,64559.0,2.99,14.35,1197592.0,8223.0,31,12923.0574,61.3111
2024-08-01,Yellow Taxi,94732,2360656.0,12276,9125,7822,26.6,7.6,22.6,6.6,0.81,19171.09677419355,2936692,3574094.0,2.97,16.54,73180336.0,594304.0,31,793703.2743,3493.7588
