date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,percent_of_trips_paid_with_credit_card,trips_per_day_shared,total_trips,passenger_count,avg_trip_distance,avg_trip_duration,total_amount,shared_match_flag,days_in_month,farebox_per_day_per_distance,total_co2_emission
2021-09-01,FHV - Other,38402,,11989,11661,5999,14.3,3.73,14.07,3.67,,,1152060,,3.94,23.45,,,30,,1817.4351
2021-09-01,Green Taxi,3190,77260.0,1216,1173,640,16.4,4.0,15.9,3.9,0.73,303.6666666666667,95700,77920.0,3.95,21.12,2317800.0,9110.0,30,19575.5243,151.0822
2021-09-01,Yellow Taxi,98723,1826376.0,8502,6218,5069,24.5,9.0,19.9,8.1,0.78,22429.366666666665,2961690,3862577.0,2.79,15.09,54791280.0,672881.0,30,655594.0563,3300.3103
2021-10-01,FHV - High Volume,533649,11159876.93,68927,66935,44408,20.6,6.6,20.3,6.5,,277.0,16543119,,3.87,19.28,345956184.71,8587.0,31,2887077.7825,25578.6904
2021-10-01,FHV - Other,40038,,12456,12070,6333,15.27,3.7,15.0,3.7,,,1241178,,4.01,24.26,,,31,,1988.4191
2021-10-01,Green Taxi,3574,82092.0,1311,1251,736,18.3,3.9,17.6,3.8,0.73,348.61290322580646,110794,93634.0,3.61,20.57,2544852.0,10807.0,31,22710.8982,160.1927
2021-10-01,Yellow Taxi,111643,1993304.0,9154,6600,5555,26.1,9.5,21.7,8.2,0.79,25884.870967741936,3460933,4586363.0,2.66,15.1,61792424.0,802431.0,31,749223.3226,3683.1163
2021-11-01,FHV - High Volume,534718,11167976.3,69410,67433,44979,20.0,6.5,19.7,6.4,,,16041540,,3.95,19.15,335039288.94,,30,2823918.9632,25376.3002
2021-11-01,FHV - Other,40471,,12247,11871,6431,15.23,3.77,15.07,3.7,,,1214130,,4.03,23.3,,,30,,1954.9664
2021-11-01,Green Taxi,3607,82075.0,1311,1269,741,17.5,3.9,17.2,3.8,0.72,350.06666666666666,108210,91364.0,3.61,20.04,2462250.0,10502.0,30,22734.4922,156.2619
2021-11-01,Yellow Taxi,115660,2103000.0,9516,6810,5763,25.4,9.5,21.3,8.2,0.78,27012.466666666667,3469800,4596301.0,2.71,15.29,63090000.0,810374.0,30,775172.0646,3765.3521
2021-12-01,FHV - High Volume,517884,10732579.9,70302,68257,44289,20.1,6.4,19.8,6.3,,,16054404,,3.96,18.61,332709976.83,,31,2709533.0401,25436.881
2021-12-01,FHV - Other,43145,,14730,14408,7066,14.53,3.73,14.37,3.73,,,1337495,,4.67,25.65,,,31,,2497.4025
2021-12-01,Green Taxi,3223,70839.0,1299,1232,705,17.8,3.6,17.1,3.6,0.69,319.83870967741933,99913,92143.0,3.49,18.72,2196009.0,9915.0,31,20322.9473,139.3053
2021-12-01,Yellow Taxi,103586,1903868.0,9552,6908,5657,25.4,9.0,21.5,7.7,0.76,25550.0,3211166,4383497.0,2.78,15.18,59019908.0,792050.0,31,684083.6535,3574.7886
2022-01-01,FHV - High Volume,475854,8708169.32,68531,66855,41326,19.2,6.3,18.9,6.2,,,14751474,,3.66,16.74,269953248.77,,31,2379661.0398,21592.7111
2022-01-01,FHV - Other,36836,,13995,13812,6224,13.33,3.6,13.33,3.53,,,1141916,,4.12,22.46,,,31,,1883.2404
2022-01-01,Green Taxi,2016,32513.0,1162,1136,523,14.3,3.1,14.2,3.0,0.64,219.74193548387098,62496,68185.0,2.79,13.89,1007903.0,6812.0,31,11662.2955,69.6924
2022-01-01,Yellow Taxi,79212,1330576.0,8803,6653,4989,23.3,8.2,20.0,7.2,0.78,17085.032258064515,2455572,3212692.0,2.49,12.64,41247856.0,529636.0,31,534134.9018,2446.8165
2022-02-01,FHV - High Volume,572114,11391744.68,68998,67536,46279,19.2,6.6,19.0,6.5,,,16019192,,3.74,18.3,318968850.93,,28,3044299.8163,23977.4735
2022-02-01,FHV - Other,45025,,14262,13980,7353,14.33,3.8,14.2,3.77,,,1260700,,4.29,24.49,,,28,,2164.9218
2022-02-01,Green Taxi,2478,40483.0,1121,1085,565,14.6,3.4,14.3,3.3,0.65,273.89285714285717,69384,75610.0,2.83,14.91,1133524.0,7669.0,28,14307.306,78.5297
2022-02-01,Yellow Taxi,106036,1805858.0,8989,6734,5591,23.2,9.1,20.1,7.9,0.8,23004.0,2969008,3871123.0,2.55,14.04,50564024.0,644112.0,28,707991.3064,3029.1936
2022-03-01,FHV - High Volume,595270,12374119.2,71667,69702,48364,21.5,6.7,21.2,6.6,,,18453370,,3.88,18.77,383597695.35,,31,3187123.697,28658.3417
2022-03-01,FHV - Other,45127,,13864,13540,7313,16.23,3.87,16.13,3.83,,,1398937,,4.62,25.6,,,31,,2585.6968
2022-03-01,Green Taxi,2532,42458.0,1133,1104,553,15.5,3.5,15.4,3.4,0.66,310.48387096774195,78492,88238.0,2.91,15.19,1316198.0,9625.0,31,14610.1057,91.2413
2022-03-01,Yellow Taxi,116628,2097319.0,9535,6984,5907,26.2,9.4,22.3,8.1,0.79,25255.967741935485,3615468,4705636.0,2.71,14.77,65016889.0,782935.0,31,775207.6764,3912.6495
2022-04-01,FHV - High Volume,591746,13208115.12,72244,70281,48410,20.7,6.5,20.4,6.4,,,17752380,,4.03,19.25,396243453.67,,30,3275112.8773,28637.2394
2022-04-01,FHV - Other,44377,,14607,13748,7259,15.4,3.9,15.13,3.77,,,1331310,,4.85,26.58,,,30,,2580.3194
2022-04-01,Green Taxi,2537,43601.0,1057,1027,546,16.0,3.5,15.7,3.5,0.67,309.0,76110,83565.0,3.0,15.6,1308030.0,9270.0,30,14514.1731,91.4547
2022-04-01,Yellow Taxi,119627,2219111.0,9560,7053,5975,25.4,9.4,21.9,8.0,0.79,27367.533333333333,3588810,4738997.0,2.79,15.4,66573330.0,821026.0,30,794266.3758,4010.7289
2022-05-01,FHV - High Volume,585714,13916719.61,73287,71059,47877,20.9,6.6,20.6,6.5,,,18157134,,4.13,19.96,431418307.91,,31,3366156.4236,30026.8569
2022-05-01,FHV - Other,40423,,13739,13355,6704,15.17,3.8,15.03,3.73,,,1253113,,4.97,28.0,,,31,,2490.0538
2022-05-01,Green Taxi,2482,44927.0,1065,1027,531,16.1,3.6,15.6,3.5,0.68,293.35483870967744,76942,82207.0,3.15,16.4,1392737.0,9094.0,31,14273.0841,96.8753
2022-05-01,Yellow Taxi,115896,2244884.0,9977,7150,5961,25.8,9.3,21.6,8.0,0.79,26143.16129032258,3592776,4668438.0,2.92,16.36,69591404.0,810438.0,31,767733.0138,4202.172
2022-06-01,FHV - High Volume,592656,13627174.78,74020,71552,49341,20.7,6.6,20.3,6.5,,133.0,17779680,,4.13,20.12,408815243.29,3990.0,30,3301472.1715,29355.0022
2022-06-01,FHV - Other,40148,,13527,13087,6784,15.03,3.8,14.87,3.7,,,1204440,,4.83,27.94,,,30,,2325.3767
2022-06-01,Green Taxi,2456,44690.0,1040,1004,527,15.7,3.6,15.3,3.6,0.68,290.43333333333334,73680,80035.0,3.16,16.39,1340700.0,8713.0,30,14120.337,93.2771
2022-06-01,Yellow Taxi,118213,2295511.0,10101,7246,6136,25.4,9.4,21.5,8.0,0.79,26668.366666666665,3546390,4638330.0,2.92,16.29,68865330.0,800051.0,30,784812.2336,4149.1592
2022-07-01,FHV - High Volume,563353,12033248.34,73321,71043,46799,20.4,6.5,20.1,6.4,,853.0,17463943,,4.13,18.91,373030698.63,26443.0,31,2916127.5425,28825.6203
2022-07-01,FHV - Other,37309,,13802,13323,6370,14.33,3.73,14.13,3.63,,,1156579,,4.92,26.4,,,31,,2275.0533
2022-07-01,Green Taxi,2070,37363.0,977,940,467,15.4,3.4,15.0,3.4,0.67,245.16129032258064,64170,70783.0,3.16,15.21,1158253.0,7600.0,31,11817.4598,81.1539
2022-07-01,Yellow Taxi,102052,1921785.0,9843,7156,5702,24.7,8.9,20.8,7.7,0.77,24475.09677419355,3163612,4258926.0,2.88,15.12,59575335.0,758728.0,31,666263.8788,3650.0746
2022-08-01,FHV - High Volume,554361,11929456.23,72640,70497,46996,20.7,6.5,20.4,6.4,,466.0,17185191,,4.19,19.16,369813142.98,14446.0,31,2847682.8917,28796.7434
2022-08-01,FHV - Other,37156,,12933,12439,6289,15.1,3.73,14.9,3.63,,,1151836,,5.11,26.92,,,31,,2355.7198
2022-08-01,Green Taxi,2126,38913.0,961,924,475,16.0,3.5,15.5,3.4,0.67,250.19354838709677,65906,73369.0,3.17,15.32,1206303.0,7756.0,31,12277.9755,83.5512
2022-08-01,Yellow Taxi,101327,1918362.0,9678,7169,5823,25.2,8.8,21.6,7.6,0.77,24031.935483870966,3141137,4209578.0,2.95,15.3,59469222.0,744990.0,31,649486.3707,3711.1405
2022-09-01,FHV - High Volume,593114,13794362.85,75194,72616,49980,20.6,6.6,20.3,6.5,,443.0,17793420,,4.21,20.64,413830885.45,13290.0,30,3274006.0442,29987.5918
2022-09-01,FHV - Other,40654,,13743,13240,6767,14.93,3.87,14.67,3.77,,,1219620,,5.08,28.52,,,30,,2478.2231
2022-09-01,Green Taxi,2300,43805.0,964,928,491,15.9,3.6,15.4,3.5,0.69,294.3333333333333,69000,77898.0,3.22,16.52,1314150.0,8830.0,30,13595.1448,88.9301
2022-09-01,Yellow Taxi,105917,2109566.0,10249,7380,6005,24.4,8.9,20.4,7.6,0.79,23445.566666666666,3177510,4084537.0,3.03,17.17,63286980.0,703367.0,30,696300.6541,3850.7314
