date,industry,total_trips,unique_vehicles,total_amount,avg_trip_distance,total_co2_emission,days_in_month
2023-03-01,FHV - High Volume,20413469,75941,434016571.55,3.95,32235.5364,31
2023-03-01,Yellow Taxi,3386130,8119,82422118.0,2.81,3800.2653,31
2023-03-01,Green Taxi,72013,884,1465370.0,2.73,78.6454,31
2023-03-01,FHV - Other,1355630,13459,,4.69,2543.1617,31
2023-03-01,Total Mercado,25227242,98403,517904059.55,3.545,38657.6088,31
2023-04-01,FHV - High Volume,19144830,76511,423048857.47,4.06,31055.2288,30
2023-04-01,Yellow Taxi,3272130,8172,81142950.0,2.87,3762.6154,30
2023-04-01,Green Taxi,65370,884,1375080.0,2.86,74.8133,30
2023-04-01,FHV - Other,1271190,13656,,4.92,2500.2091,30
2023-04-01,Total Mercado,23753520,99223,505566887.47,3.6774999999999998,37392.8666,30
2023-05-01,FHV - High Volume,19847564,77106,460261591.33,4.19,33285.6231,31
2023-05-01,Yellow Taxi,3498133,8317,88886889.0,3.02,4220.9094,31
2023-05-01,Green Taxi,69161,879,1498819.0,2.88,79.7594,31
2023-05-01,FHV - Other,1417320,13827,,4.95,2808.8344,31
2023-05-01,Total Mercado,24832178,100129,550647299.3299999,3.7600000000000002,40395.126299999996,31
2023-06-01,FHV - High Volume,19366470,77565,446362983.63,4.12,31930.2578,30
2023-06-01,Yellow Taxi,3292980,8384,84074160.0,2.96,3901.1803,30
2023-06-01,Green Taxi,65520,855,1465320.0,2.97,77.8903,30
2023-06-01,FHV - Other,1246380,13338,,4.73,2359.6083,30
2023-06-01,Total Mercado,23971350,100142,531902463.63,3.6950000000000003,38268.9367,30
2023-07-01,FHV - High Volume,19131991,77346,419258598.99,4.16,31853.5448,31
2023-07-01,Yellow Taxi,2892765,8306,72777863.0,3.0,3476.5362,31
2023-07-01,Green Taxi,61318,850,1362884.0,3.01,73.729,31
2023-07-01,FHV - Other,1369177,14675,,4.38,2397.1472,31
2023-07-01,Total Mercado,23455251,101177,493399345.99,3.6375,37800.9572,31
2023-08-01,FHV - High Volume,18321992,77520,399265118.35,4.28,31398.2493,31
2023-08-01,Yellow Taxi,2805035,8341,70756291.0,3.08,3459.9894,31
2023-08-01,Green Taxi,60667,853,1391993.0,3.08,74.7556,31
2023-08-01,FHV - Other,1444507,14569,,4.94,2852.7421,31
2023-08-01,Total Mercado,22632201,101283,471413402.35,3.845,37785.7364,31
2023-09-01,FHV - High Volume,19850940,79448,463643218.81,4.13,32786.7727,30
2023-09-01,Yellow Taxi,2830530,8495,74207250.0,2.96,3348.1656,30
2023-09-01,Green Taxi,65430,855,1577100.0,3.13,81.9414,30
2023-09-01,FHV - Other,1314330,14609,,4.86,2554.525,30
2023-09-01,Total Mercado,24061230,103407,539427568.81,3.77,38771.4047,30
2023-10-01,FHV - High Volume,20186549,80346,478751237.49,4.13,33309.6377,31
2023-10-01,Yellow Taxi,3501729,8662,89559031.0,2.89,4044.8143,31
2023-10-01,Green Taxi,66185,861,1493549.0,2.89,76.3835,31
2023-10-01,FHV - Other,1859318,18766,,4.58,3407.1054,31
2023-10-01,Total Mercado,25613781,108635,569803817.49,3.6225,40837.9409,31
2023-11-01,FHV - High Volume,19269240,80871,437688216.05,4.09,31513.1292,30
2023-11-01,Yellow Taxi,3319290,8751,83321610.0,2.77,3673.0671,30
2023-11-01,Green Taxi,63990,837,1404420.0,2.78,71.0324,30
2023-11-01,FHV - Other,1691580,18221,,4.45,3011.1053,30
2023-11-01,Total Mercado,24344100,108680,522414246.05,3.5225,38268.334,30
2023-12-01,FHV - High Volume,20516265,82379,476500310.37,4.06,33305.8377,31
2023-12-01,Yellow Taxi,3354262,8841,84025128.0,2.71,3642.1527,31
2023-12-01,Green Taxi,64201,825,1422776.0,2.76,71.0028,31
2023-12-01,FHV - Other,1575699,17354,,4.36,2747.9754,31
2023-12-01,Total Mercado,25510427,109399,561948214.37,3.4725,39766.96859999999,31
2024-01-01,FHV - High Volume,19664199,83785,419748871.34,3.84,30172.3634,31
2024-01-01,Yellow Taxi,2937002,8795,68789775.0,2.62,3075.9627,31
2024-01-01,Green Taxi,56544,797,1147868.0,2.59,58.5042,31
2024-01-01,FHV - Other,1553658,18624,,4.39,2728.7431,31
2024-01-01,Total Mercado,24211403,112001,489686514.34,3.36,36035.5734,31
2024-02-01,FHV - High Volume,19359240,83713,417112150.33,3.95,30552.0927,29
2024-02-01,Yellow Taxi,2978532,8805,69303620.0,2.63,3132.5143,29
2024-02-01,Green Taxi,53563,769,1095881.0,2.63,56.2904,29
2024-02-01,FHV - Other,1486279,17578,,4.42,2626.5023,29
2024-02-01,Total Mercado,23877614,110865,487511651.33,3.4074999999999998,36367.3997,29
2024-03-01,FHV - High Volume,21280849,83966,481770349.64,3.94,33508.2138,31
2024-03-01,Yellow Taxi,3544943,8920,84665340.0,2.71,3840.0386,31
2024-03-01,Green Taxi,57443,750,1187424.0,2.62,60.3084,31
2024-03-01,FHV - Other,1654346,17679,,4.56,3018.5488,31
2024-03-01,Total Mercado,26537581,111315,567623113.64,3.4574999999999996,40427.109599999996,31
2024-04-01,FHV - High Volume,19732950,83683,448419948.77,4.04,31857.8272,30
2024-04-01,Yellow Taxi,3474390,9050,84091110.0,2.77,3847.1958,30
2024-04-01,Green Taxi,56370,713,1183590.0,2.67,60.2672,30
2024-04-01,FHV - Other,1563810,17208,,4.73,2959.4612,30
2024-04-01,Total Mercado,24827520,110654,533694648.77,3.5525,38724.7514,30
2024-05-01,FHV - High Volume,20704466,83944,488391446.01,4.15,34406.5904,31
2024-05-01,Yellow Taxi,3683389,9121,92128125.0,2.84,4184.658,31
2024-05-01,Green Taxi,60326,719,1331698.0,2.75,66.3966,31
2024-05-01,FHV - Other,1579419,17119,,4.99,3152.2102,31
2024-05-01,Total Mercado,26027600,110903,581851269.01,3.6825,41809.8552,31
2024-06-01,FHV - High Volume,20123160,82824,472250258.01,4.17,33526.1838,30
2024-06-01,Yellow Taxi,3503160,9146,86322180.0,2.82,3946.4245,30
2024-06-01,Green Taxi,54150,713,1211250.0,2.81,60.8091,30
2024-06-01,FHV - Other,1468620,16939,,4.84,2845.6943,30
2024-06-01,Total Mercado,25149090,109622,559783688.01,3.66,40379.1117,30
2024-07-01,FHV - High Volume,19182862,81319,432929941.32,4.2,32231.5815,31
2024-07-01,Yellow Taxi,3035799,9144,75128097.0,2.9,3526.422,31
2024-07-01,Green Taxi,51398,712,1145698.0,2.85,58.5968,31
2024-07-01,FHV - Other,1448847,15429,,4.81,2787.3293,31
2024-07-01,Total Mercado,23718906,106604,509203736.32,3.69,38603.9296,31
2024-08-01,FHV - High Volume,19128333,80570,439289790.54,4.24,32427.8949,31
2024-08-01,Yellow Taxi,2936692,9125,73180336.0,2.97,3493.7588,31
2024-08-01,Green Taxi,51274,694,1197592.0,2.99,61.3111,31
2024-08-01,FHV - Other,1482575,19783,,4.88,2895.5106,31
2024-08-01,Total Mercado,23598874,110172,513667718.54,3.77,38878.475399999996,31
