industry,column,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mae,mape,smape,mse,rmse,training time
FHV - High Volume,avg_trip_distance,0.01,0.01,additive,0.0992648394643078,2.4359686869117154,2.3990535961020094,0.012422168088195434,0.11145478046362764,1.5519037246704102
FHV - High Volume,avg_trip_distance,0.01,0.01,multiplicative,0.10802554419041928,2.6472149510664122,2.6037483473159977,0.014722841519649851,0.12133771680582198,0.895219087600708
FHV - High Volume,avg_trip_distance,0.01,0.05,additive,0.10711049172076666,2.623635431028788,2.5805689763557784,0.014600861294173206,0.12083402374403165,0.6055986881256104
FHV - High Volume,avg_trip_distance,0.01,0.05,multiplicative,0.08697014183606315,2.12898308923751,2.099562207057863,0.010042134583972297,0.10021045147075378,0.6708884239196777
FHV - High Volume,avg_trip_distance,0.01,0.1,additive,0.10806328043575097,2.646052894175776,2.6010971006739907,0.015265046163878283,0.12355179547007111,0.8015377521514893
FHV - High Volume,avg_trip_distance,0.01,0.1,multiplicative,0.09196594304547472,2.2507607253396786,2.2182250035861197,0.011193832939444334,0.1058009118081897,0.6499521732330322
FHV - High Volume,avg_trip_distance,0.01,1.0,additive,0.13138849924080895,3.2160805153995975,3.1610314113364493,0.020078953165613048,0.141700222884839,0.7219271659851074
FHV - High Volume,avg_trip_distance,0.01,1.0,multiplicative,0.11948106782940038,2.9222224288122653,2.8784906614291965,0.01703335940111269,0.13051191287048355,0.6301655769348145
FHV - High Volume,avg_trip_distance,0.01,5.0,additive,0.12714824522722193,3.112713118741552,3.0615387426600122,0.01882647740194988,0.13720961118649772,0.749281644821167
FHV - High Volume,avg_trip_distance,0.01,5.0,multiplicative,0.12033969023767532,2.943207230118603,2.8991130816184802,0.01724076520300862,0.13130409438783172,0.7031762599945068
FHV - High Volume,avg_trip_distance,0.01,10.0,additive,0.1324375152950672,3.241910497914609,3.1861312015633216,0.020339191198615034,0.142615536315701,0.7808346748352051
