inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,year,emission_tco2e
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2010,12619175.98
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2010,392316.69
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2010,1353434.07
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2010,66544.43
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2010,57329.01
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2010,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2010,403.26
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2010,0
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2010,0
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2010,594743.8
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2010,32443.6
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2011,1429474.5
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2011,812476.85
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2011,2038819.57
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2011,15.36
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2011,5007826.86
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2011,8889422.48
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2011,323143.06
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2011,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2011,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2011,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2011,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2011,810034.16
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2011,145009.83
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2011,250183.52
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2011,3.87
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2011,7724568.06
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2011,5052715.95
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2011,708083.99
