;County Code;County;# Days with AQI;Good;Moderate;Unhealthy for Sensitive Groups;Unhealthy;Very Unhealthy;Hazardous;AQI Maximum;AQI 90th Percentile;AQI Median;# Days CO;# Days NO2;# Days O3;# Days PM2.5;# Days PM10
2022;36001;Albany County, NY;365;276;89;.;.;.;.;88;57;40;.;.;163;202;.
2022;36005;Bronx County, NY;365;225;139;1;.;.;.;101;61;44;.;25;129;211;.
2022;36013;Chautauqua County, NY;355;322;29;4;.;.;.;140;50;36;.;.;330;25;.
2022;36027;Dutchess County, NY;341;321;20;.;.;.;.;97;48;35;.;.;341;.;.
2022;36029;Erie County, NY;365;238;125;2;.;.;.;150;61;44;.;4;107;254;.
2022;36031;Essex County, NY;365;342;21;2;.;.;.;115;48;41;.;.;338;27;.
2022;36041;Hamilton County, NY;350;345;5;.;.;.;.;71;43;34;.;.;350;.;.
2022;36045;Jefferson County, NY;360;352;8;.;.;.;.;84;43;32;.;.;360;.;.
2022;36047;Kings County, NY;364;240;124;.;.;.;.;85;59;42.5;.;.;.;364;.
2022;36055;Monroe County, NY;365;270;93;2;.;.;.;126;58;42;.;.;151;214;.
2022;36059;Nassau County, NY;361;303;58;.;.;.;.;68;53;29;.;.;.;361;.
2022;36061;New York County, NY;365;234;130;1;.;.;.;105;61;43;.;.;140;225;.
2022;36063;Niagara County, NY;358;339;18;1;.;.;.;133;45;35;.;.;358;.;.
2022;36065;Oneida County, NY;332;288;44;.;.;.;.;83;52;26;.;.;.;332;.
2022;36067;Onondaga County, NY;365;316;49;.;.;.;.;69;52;37;.;.;202;163;.
2022;36071;Orange County, NY;363;292;71;.;.;.;.;73;55;37;.;.;102;261;.
2022;36075;Oswego County, NY;354;349;5;.;.;.;.;58;43;32;.;.;354;.;.
2022;36079;Putnam County, NY;333;311;22;.;.;.;.;100;47;34;.;.;333;.;.
2022;36081;Queens County, NY;365;203;159;3;.;.;.;126;67;47;.;14;109;242;.
2022;36085;Richmond County, NY;365;278;86;1;.;.;.;105;57;40;.;.;180;185;.
2022;36087;Rockland County, NY;365;315;50;.;.;.;.;90;53;38;.;.;247;118;.
2022;36091;Saratoga County, NY;362;354;8;.;.;.;.;74;44;32;.;.;362;.;.
2022;36101;Steuben County, NY;365;326;39;.;.;.;.;71;51;38;.;.;210;155;.
2022;36103;Suffolk County, NY;365;272;85;8;.;.;.;133;60;42;.;.;242;123;.
2022;36109;Tompkins County, NY;361;349;12;.;.;.;.;67;44;36;.;.;361;.;.
2022;36117;Wayne County, NY;343;333;9;1;.;.;.;101;44;33;.;.;343;.;.
2022;36119;Westchester County, NY;365;300;65;.;.;.;.;100;55;38;.;.;245;120;.
